example_id,conversation_id,customer_message,context,historical_agent_reply,intent,escalation,notes,suggested_intent,escalation_reason
gold_005,apple_conv_001358,@AppleSupport And my sim card (att) continues to leave the network (sim failure),AGENT: @167331 We want to look into this with you. Can you tell us which version of iOS 11 you have? Settings &gt; General &gt; About will tell you.,"@167331 Okay, thanks. Let's get updated to iOS 11.0.2. Follow the steps here: https://t.co/80YRnjDFDk DM us if the issue continues. https://t.co/GDrqU22YpT",wifi_network_issue,escalate,,wifi_network_issue,Rule-based escalation suggestion; human review recommended.
gold_007,apple_conv_007738,"@AppleSupport 11.0.3. I’ve tried the background app refresh, brightness, notifications, nothing has helped so far...",AGENT: @377721 We're happy to look into this with you. Which version of iOS 11 is installed? This is located in Settings &gt; General &gt; About.,@377721 Thanks for confirming and trying those steps. Please let us know in DM how long ago you installed this iOS update. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,messaging_calling_issue,Rule-based escalation suggestion; human review recommended.
gold_009,apple_conv_017478,@AppleSupport  https://t.co/RMZgmAQwjg,,"@668824 Thank you for that. It's never a bad idea to check your settings to ensure that nothing has changed after an update. This is a great guide to those settings. https://t.co/XxEbE7Bhna 
Give that a look and join us in DM if they don't apply. https://t.co/GDrqU22YpT",other_unclear,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_010,apple_conv_016255,"@AppleSupport No need, all fixed. Thanks for your help. Very responsive. 👍🏻",AGENT: @347741 No problem! Send us a DM wit the results. https://t.co/GDrqU22YpT,@347741 Great! Glad the issue has been resolved.,other_unclear,escalate,,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_012,apple_conv_012020,"@AppleSupport Thanks for the helpful tips. A lot of what was listed here I have been doing. Appreciate the support, but i might need adtl. support","AGENT: @356552 We want to help. First, have you tried the steps here? https://t.co/bivpdfBNJ6",@356552 Thanks for letting us know. We'd be happy to take a closer look. Send us a DM and we'll continue. https://t.co/GDrqU22YpT,other_unclear,escalate,,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_018,apple_conv_013471,@AppleSupport Tell me how to roll back the last major update to my phone. It worked back then,AGENT: @317397 We'll be happy to look into this. DM us and we'll go from there. https://t.co/GDrqU22YpT,@317397 We'd like to point you in the right direction. Join us in DM. https://t.co/GDrqU22YpT,ios_software_issue,escalate,,ios_software_issue,Rule-based escalation suggestion; human review recommended.
gold_027,apple_conv_016397,@AppleSupport Will do!,,@555916 Let's look into that. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,other_unclear,escalate,Manually labeled as account_login_verification,other_unclear,Rule-based escalation suggestion; human review recommended.
gold_031,apple_conv_002034,"@AppleSupport Dear Team, 

When i click on settings, for a fraction of a second wifi is on by default and then it changes to off.","AGENT: @186602 We'd like to look into this with you. Send us a DM and we'll get started. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Nobody is available to address this issue? Have sent a DM. Its been 2 weeks. No revert #avoidappleproducts
AGENT: @186602 We've received your DM and we'll continue with you from there.",@186602 Connect with us in DM by clicking on the following link: https://t.co/GDrqU22YpT,ios_software_issue,escalate,Manually labeled as account_login_verification,wifi_network_issue,Rule-based escalation suggestion; human review recommended.
gold_034,apple_conv_014529,"@AppleSupport Every time I try to use the calculator it closes after a second &amp; I have to open it again. Also, the screen keeps getting stuck in landscape","AGENT: @579603 We'd be happy to look into any issues you're experiencing. Send us a DM, and we'll get started there. https://t.co/GDrqU22YpT",@579603 Thank you. Send us a DM by clicking on the link below including the exact iOS version installed. We'll continue there. https://t.co/GDrqU22YpT,app_store_app_issue,escalate,Manually labeled as account_login_verification,app_store_app_issue,Rule-based escalation suggestion; human review recommended.
gold_035,apple_conv_009963,@AppleSupport any app I load even my iMessages freezes...,"AGENT: @448799 We'd love to look into this with you. What are you experiencing? Has these issues been present since you installed iOS 11.0.3?
CUSTOMER: @AppleSupport my phones constantly freezes when using it and loading apps. My battery drains quick... ... https://t.co/JP1zVfIZ8H
AGENT: @448799 Thank you. We understand your concerns. Does this happen with specific apps?",@448799 Got it. Please send us a DM and we'll continue there. Thanks! https://t.co/GDrqU22YpT,ios_software_issue,escalate,Manually labeled as app_store_app_issue,battery_charging_issue,Rule-based escalation suggestion; human review recommended.
