example_id,customer_message,reply,correctness,groundedness,relevance,safety,overall
gold_096,"@AppleSupport @116333 Well to start out my iMac computer was seeing a grey folder with a question mark on start up. I called it in, an Apple rep schedule me for a in store repair at “Annapolis mall”. When I took it in the sales rep greeted me and ran an diagnostic test on it and told me.","@681937 Thanks for the explanation. We're here for you! We've also received your DM, and have responded from there to help get this sorted out.",5,4,4,4,5
gold_016,@AppleSupport Spins for ages then says “Remote hotspot failure”. Even though phone in range and full 4G signal.,"@392711 OK. You are trying to connect via Bluetooth, correct? Does restarting both your devices help?",1,1,3,1,1
gold_031,"@AppleSupport Dear Team, 

When i click on settings, for a fraction of a second wifi is on by default and then it changes to off.",@186602 Connect with us in DM by clicking on the following link: https://t.co/GDrqU22YpT,5,4,3,1,1
gold_159,@AppleSupport Definitely a scratch unfortunately.,@277328 Let us know how it occurred in DM. We'll work together to explore your options. https://t.co/GDrqU22YpT,5,1,4,2,3
gold_129,@AppleSupport I have,"@358819 If you haven't yet, restart using the steps found here: https://t.co/OWRDHWSt4h Let us know whether there is any change.",5,4,4,1,3
gold_116,"@AppleSupport I use iCloud. Not all the contacts are missing. I can’t find them, but if they message me, their info will come up.","@325984 In Contacts, tap ""Groups"", is ""All iCloud"" selected?",1,1,1,1,1
gold_070,@AppleSupport Thank you. All done,@253838 Great. We appreciate you helping us with that. Have a great rest of your day.,5,5,4,4,3
gold_171,"@AppleSupport yes on iTunes, i have a 6s 😡",@457610 Got it. Have you tried each of these steps: https://t.co/lMMVPdjGNN,5,4,4,5,5
gold_175,"@AppleSupport Messages won't send to people , all the messages I get deletes, my resent call log stop working so if I don't already have a number save👎🏽",@581903 That's not the experience we want you to have. Please meet us in DM so we can gather more information and assist you. https://t.co/GDrqU22YpT,1,1,1,1,1
gold_046,"@AppleSupport I got all my iTunes music back, iCloud Music Library is turned on. Is there a way to bulk download?","@732352 That's good iCloud Music Library is enabled. For your download question, do you mean downloading all music at once from Apple Music? If yes, any songs you’d like to download for offline use will need to be downloaded by individual song or album.",5,4,4,4,1
gold_067,"@AppleSupport To save a pdf in safari now have to go into menu, save to pdf then go into menu again to save. Before tap top of pdf and choose save. Stupid",@555426 We'd like to hear more about what you're running into with Safari. Please send us a DM and we'll take a look. https://t.co/GDrqU22YpT,5,5,3,1,1
gold_183,@AppleSupport iPhone 6,"@522201 Thanks so much. Let's go ahead and reset your Keyboard Dictionary first. You can go to Settings &gt; General &gt; Reset &gt; Reset Keyboard Dictionary. 
Let us know how it goes.",5,5,4,4,3
gold_166,@AppleSupport It’s on a 6s. I updated it and it started doing that shit all the time. Help me out foos,"@822742 In iOS 11, Wi-Fi and Bluetooth are turned on/off in Settings. Here’s more info on that feature: https://t.co/G7BHuQnDS6",1,5,4,1,1
gold_079,"@AppleSupport No apps, this is on my home screen! And yes, I updated it last night. I had the same problem after last iOS update",@695812 Thanks for the details. Let's continue in a DM. https://t.co/GDrqU22YpT,5,5,4,1,3
gold_187,"@AppleSupport Thanks! Yes, I am fully updated. My phone freezes a lot when using twitter, google chrome, and podcasts.",@660912 No problem. We love being able to assist. Is it slow to respond or does the display become completely unresponsive? Let us know the answer in DM. https://t.co/GDrqU22YpT,5,5,4,1,1
